Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
LNGG_PAG,,Pangasinan,Pangasinan,,,ISO639-2
LNGG_PAL,,,Pahlavi,,,ISO639-2
LNGG_PAM,,Pampangan,Pampanga; Kapampangan,,,ISO639-2
LNGG_PAN,,Punjabi,Panjabi; Punjabi,,,ISO639-2
LNGG_PAP,,,Papiamento,,,ISO639-2
LNGG_PAU,,Palauan,Palauan,,,ISO639-2
LNGG_PEO,,,"Persian, Old (ca. 600–400 B.C.)",,,ISO639-2
LNGG_PHI,,,Philippine languages,,,ISO639-2
LNGG_PHN,,,Phoenician,,,ISO639-2
LNGG_PLI,,,Pali,,,ISO639-2
LNGG_POL,,Polish,Polish,,,ISO639-2
LNGG_PON,,,Pohnpeian,,,ISO639-2
LNGG_POR,,Portuguese,Portuguese,,,ISO639-2
LNGG_PRA,,,Prakrit languages,,,ISO639-2
LNGG_PRO,,,"Provençal, Old (to 1500); Old Occitan (to 1500)",,,ISO639-2
LNGG_PUS,,Pashto,Pushto; Pashto,,,ISO639-2
LNGG_QUE,,Quechua,Quechua,,,ISO639-2
LNGG_RAJ,,,Rajasthani,,,ISO639-2
LNGG_RAP,,,Rapanui,,,ISO639-2
LNGG_RAR,,,Rarotongan; Cook Islands Māori,,,ISO639-2
LNGG_ROA,,,Romance languages,,,ISO639-2
LNGG_ROH,,,Romansh,,,ISO639-2
LNGG_ROM,,Romany,Romany,,,ISO639-2
LNGG_RON,,"Romanian,Moldovan",Romanian; Moldavian; Moldovan,,,ISO639-2
LNGG_RUN,,Kirundi,Rundi,,,ISO639-2
LNGG_RUP,,,Aromanian; Arumanian; Macedo-Romanian,,,ISO639-2
LNGG_RUS,,Russian,Russian,,,ISO639-2
LNGG_SAD,,,Sandawe,,,ISO639-2
LNGG_SAG,,Sango,Sango,,,ISO639-2
LNGG_SAH,,,Yakut,,,ISO639-2
LNGG_SAI,,,South American Indian languages,,,ISO639-2
LNGG_SAL,,,Salishan languages,,,ISO639-2
LNGG_SAM,,,Samaritan Aramaic,,,ISO639-2
LNGG_SAN,,,Sanskrit,,,ISO639-2
LNGG_SAS,,,Sasak,,,ISO639-2
LNGG_SAT,,,Santali,,,ISO639-2
LNGG_SCN,,Sicilian,Sicilian,,,ISO639-2
LNGG_SCO,,,Scots,,,ISO639-2
LNGG_SEL,,,Selkup,,,ISO639-2
LNGG_SEM,,,Semitic languages,,,ISO639-2
LNGG_SGA,,,"Irish, Old (to 900)",,,ISO639-2
LNGG_SGN,,Sign Languages,Sign Languages,,,ISO639-2
LNGG_SHN,,,Shan,,,ISO639-2
LNGG_SID,,,Sidamo,,,ISO639-2
LNGG_SIN,,Sinhala,Sinhala; Sinhalese,,,ISO639-2
LNGG_SIO,,,Siouan languages,,,ISO639-2
LNGG_SIT,,,Sino-Tibetan languages,,,ISO639-2
LNGG_SLA,,,Slavic languages,,,ISO639-2
LNGG_SLK,,Slovak,Slovak,,,ISO639-2
LNGG_SLV,,Slovenian,Slovenian,,,ISO639-2
LNGG_SMA,,,Southern Sami,,,ISO639-2
LNGG_SME,,,Northern Sami,,,ISO639-2
LNGG_SMI,,,Sami languages,,,ISO639-2
LNGG_SMJ,,,Lule Sami,,,ISO639-2
LNGG_SMN,,,Inari Sami,,,ISO639-2
LNGG_SMO,,Samoan,Samoan,,,ISO639-2
LNGG_SMS,,,Skolt Sami,,,ISO639-2
LNGG_SNA,,Shona,Shona,,,ISO639-2
LNGG_SND,,Sindhi,Sindhi,,,ISO639-2
LNGG_SNK,,,Soninke,,,ISO639-2
LNGG_SOG,,,Sogdian,,,ISO639-2
LNGG_SOM,,Somali,Somali,,,ISO639-2
LNGG_SON,,,Songhai languages,,,ISO639-2
LNGG_SOT,,Sesotho,"Sotho, Southern",,,ISO639-2
LNGG_SPA,,Spanish,Spanish; Castilian,,,ISO639-2
LNGG_SQI,,Albanian,Albanian,,,ISO639-2
